ts,datetime_utc,equity,B&H BTC,Equiponderado
1584575999999,2020-03-18 23:59,11517.44183599,5341.9524115096000000,5370.6776848090000000
1584590399999,2020-03-19 03:59,11517.44183599,5236.7593478716000000,5268.0243718780000000
1584604799999,2020-03-19 07:59,11517.44183599,5362.9018775731000000,5397.6095105245000000
1584619199999,2020-03-19 11:59,11517.44183599,5568.6028523914000000,5616.1164933160000000
1584633599999,2020-03-19 15:59,11517.44183599,5839.2521245990000000,5845.1543661760000000
1584647999999,2020-03-19 19:59,11517.44183599,6156.6835850893000000,6190.1548378585000000
1584662399999,2020-03-19 23:59,11517.44183599,6103.9880014213000000,6167.4644669425000000
1584676799999,2020-03-20 03:59,11517.44183599,6098.0250801115000000,6129.9686343085000000
1584691199999,2020-03-20 07:59,11517.44183599,6258.5286962311000000,6321.7628660905000000
1584705599999,2020-03-20 11:59,11517.44183599,6596.8898124151000000,6628.0850372905000000
1584719999999,2020-03-20 15:59,11517.44183599,6551.9896092634000000,6540.0349410250000000
1584734399999,2020-03-20 19:59,11517.44183599,6128.9688777391000000,6062.6972410405000000
1584748799999,2020-03-20 23:59,11517.44183599,6149.5419467764000000,6125.7838497820000000
1584763199999,2020-03-21 03:59,11517.44183599,6208.0716843505000000,6174.7056325285000000
1584777599999,2020-03-21 07:59,11517.44183599,6092.8842891484000000,6045.7979897080000000
1584791999999,2020-03-21 11:59,11517.44183599,6060.7518693328000000,6014.6461767040000000
1584806399999,2020-03-21 15:59,11517.44183599,6153.2266755592000000,6115.2832968460000000
1584820799999,2020-03-21 19:59,11517.44183599,6157.3769480323000000,6112.7869681735000000
1584835199999,2020-03-21 23:59,11517.44183599,6128.3646614602000000,6096.4523935990000000
1584849599999,2020-03-22 03:59,11517.44183599,6291.7506863857000000,6252.4305468115000000
1584863999999,2020-03-22 07:59,11517.44183599,6229.7541340966000000,6187.3753256530000000
1584878399999,2020-03-22 11:59,11517.44183599,6095.2714387093000000,6039.4486698835000000
1584892799999,2020-03-22 15:59,11517.44183599,6018.5755920286000000,5934.3580511980000000
1584907199999,2020-03-22 19:59,11517.44183599,5855.0310841447000000,5753.8434320125000000
1584921599999,2020-03-22 23:59,11517.44183599,5761.0903105531000000,5676.4734164755000000
1584935999999,2020-03-23 03:59,11517.44183599,5898.9407688064000000,5810.7695993620000000
1584950399999,2020-03-23 07:59,11517.44183599,5800.1167390591000000,5727.3008251885000000
1584964799999,2020-03-23 11:59,11517.44183599,5787.9333616321000000,5700.6377000035000000
1584979199999,2020-03-23 15:59,11517.44183599,6172.7002690726000000,6044.5625813530000000
1584993599999,2020-03-23 19:59,11517.44183599,6206.9127777172000000,6076.5258560830000000
1585007999999,2020-03-23 23:59,11517.44183599,6406.0367097619000000,6309.8015543755000000
1585022399999,2020-03-24 03:59,11517.44183599,6460.7232355948000000,6289.6015241260000000
1585036799999,2020-03-24 07:59,11517.44183599,6503.8504106494000000,6352.0793177920000000
1585051199999,2020-03-24 11:59,11517.44183599,6667.2265303900000000,6548.9669420830000000
