ts,datetime_utc,equity
1615262399999,2021-03-09 03:59,68905.0237148350000000
1615276799999,2021-03-09 07:59,67923.8976769810000000
1615291199999,2021-03-09 11:59,68624.3084570890000000
1615305599999,2021-03-09 15:59,68674.9771296970000000
1615319999999,2021-03-09 19:59,68581.8345100525000000
1615334399999,2021-03-09 23:59,69936.5257412740000000
1615348799999,2021-03-10 03:59,67105.0632950170000000
1615363199999,2021-03-10 07:59,68121.4784654140000000
1615377599999,2021-03-10 11:59,68651.6299857115000000
1615391999999,2021-03-10 15:59,69748.7376488425000000
1615406399999,2021-03-10 19:59,70133.1132729580000000
1615420799999,2021-03-10 23:59,68692.2753656455000000
1615435199999,2021-03-11 03:59,68927.3688673150000000
1615449599999,2021-03-11 07:59,67630.3144221130000000
1615463999999,2021-03-11 11:59,68513.1087760810000000
1615478399999,2021-03-11 15:59,68938.6376607415000000
1615492799999,2021-03-11 19:59,69138.2814865720000000
1615507199999,2021-03-11 23:59,70344.7434369520000000
1615521599999,2021-03-12 03:59,69837.6512752135000000
1615535999999,2021-03-12 07:59,69080.6706380890000000
1615550399999,2021-03-12 11:59,68529.2872564060000000
1615564799999,2021-03-12 15:59,68790.5652323905000000
1615579199999,2021-03-12 19:59,67949.7614258425000000
1615593599999,2021-03-12 23:59,68707.5215497000000000
1615607999999,2021-03-13 03:59,68290.6667907310000000
1615622399999,2021-03-13 07:59,69318.1059461080000000
1615636799999,2021-03-13 11:59,72425.0677672150000000
1615651199999,2021-03-13 15:59,72444.8084203015000000
1615665599999,2021-03-13 19:59,74142.0263649400000000
1615679999999,2021-03-13 23:59,74243.4723349225000000
1615694399999,2021-03-14 03:59,74067.2059827175000000
1615708799999,2021-03-14 07:59,73071.8518626880000000
1615723199999,2021-03-14 11:59,72813.0913367335000000
1615737599999,2021-03-14 15:59,72026.4262687540000000
1615751999999,2021-03-14 19:59,72451.0301848090000000
1615766399999,2021-03-14 23:59,71446.8197020075000000
1615780799999,2021-03-15 03:59,73001.9631069025000000
1615795199999,2021-03-15 07:59,69622.4479094980000000
1615809599999,2021-03-15 11:59,68266.2820733575000000
1615823999999,2021-03-15 15:59,68207.5179852685000000
1615838399999,2021-03-15 19:59,68830.1913850720000000
1615852799999,2021-03-15 23:59,68532.7638303520000000
1615867199999,2021-03-16 03:59,66846.8561815960000000
1615881599999,2021-03-16 07:59,68483.9176109665000000
1615895999999,2021-03-16 11:59,68445.1474988875000000
1615910399999,2021-03-16 15:59,68889.8869827190000000
1615924799999,2021-03-16 19:59,68380.3872394720000000
1615939199999,2021-03-16 23:59,69440.4485135755000000
1615953599999,2021-03-17 03:59,67870.7178795115000000
1615967999999,2021-03-17 07:59,68459.7583294315000000
1615982399999,2021-03-17 11:59,67381.9069622290000000
1615996799999,2021-03-17 15:59,67725.4522810210000000
1616011199999,2021-03-17 19:59,70427.5405099990000000
1616025599999,2021-03-17 23:59,70858.9532998645000000
1616039999999,2021-03-18 03:59,70989.9862637365000000
1616054399999,2021-03-18 07:59,70394.3470821535000000
1616068799999,2021-03-18 11:59,69945.3470826025000000
1616083199999,2021-03-18 15:59,71135.2767463180000000
1616097599999,2021-03-18 19:59,68780.2432197355000000
1616111999999,2021-03-18 23:59,69146.8328266720000000
1616126399999,2021-03-19 03:59,69303.0196415140000000
1616140799999,2021-03-19 07:59,69636.1491685240000000
1616155199999,2021-03-19 11:59,70714.2918201505000000
1616169599999,2021-03-19 15:59,70845.4261021030000000
1616183999999,2021-03-19 19:59,70886.1014730160000000
1616198399999,2021-03-19 23:59,70090.6910631325000000
1616212799999,2021-03-20 03:59,70801.4979702070000000
1616227199999,2021-03-20 07:59,70573.4104655275000000
1616241599999,2021-03-20 11:59,71438.3695496185000000
1616255999999,2021-03-20 15:59,71746.8144284860000000
1616270399999,2021-03-20 19:59,71591.6866965010000000
1616284799999,2021-03-20 23:59,70057.9114280800000000
1616299199999,2021-03-21 03:59,69469.4233971880000000
1616313599999,2021-03-21 07:59,68886.5844505570000000
1616327999999,2021-03-21 11:59,68381.7576791605000000
1616342399999,2021-03-21 15:59,69209.9665257760000000
1616356799999,2021-03-21 19:59,69534.6135118180000000
1616371199999,2021-03-21 23:59,69157.6552334320000000
1616385599999,2021-03-22 03:59,69261.5409412345000000
1616399999999,2021-03-22 07:59,69410.3153434090000000
1616414399999,2021-03-22 11:59,69622.9950013585000000
1616428799999,2021-03-22 15:59,68925.2208454870000000
1616443199999,2021-03-22 19:59,67221.7209161215000000
1616457599999,2021-03-22 23:59,65207.3458136155000000
1616471999999,2021-03-23 03:59,65990.3110716085000000
1616486399999,2021-03-23 07:59,65209.2200939590000000
1616500799999,2021-03-23 11:59,65435.6644244575000000
1616515199999,2021-03-23 15:59,66245.1257458645000000
1616529599999,2021-03-23 19:59,66234.4762015690000000
1616543999999,2021-03-23 23:59,65040.3135540745000000
1616558399999,2021-03-24 03:59,65292.1793047060000000
1616572799999,2021-03-24 07:59,66215.6111205340000000
1616587199999,2021-03-24 11:59,67199.2029865915000000
1616601599999,2021-03-24 15:59,67226.7869894770000000
1616615999999,2021-03-24 19:59,64492.9391543965000000
1616630399999,2021-03-24 23:59,62060.1551416285000000
1616644799999,2021-03-25 03:59,61749.1316649400000000
1616659199999,2021-03-25 07:59,61863.7265738215000000
1616673599999,2021-03-25 11:59,62233.3354050115000000
1616687999999,2021-03-25 15:59,61712.2683626425000000
1616702399999,2021-03-25 19:59,62536.9559395525000000
1616716799999,2021-03-25 23:59,61649.1558897910000000
1616731199999,2021-03-26 03:59,62954.6366087845000000
1616745599999,2021-03-26 07:59,63777.5354622085000000
1616759999999,2021-03-26 11:59,63084.2799221980000000
1616774399999,2021-03-26 15:59,63916.3306171195000000
1616788799999,2021-03-26 19:59,64677.6977098975000000
1616803199999,2021-03-26 23:59,66082.5022231735000000
1616817599999,2021-03-27 03:59,65817.9618793225000000
1616831999999,2021-03-27 07:59,65890.2326746840000000
1616846399999,2021-03-27 11:59,65388.8876350705000000
1616860799999,2021-03-27 15:59,65677.4477441125000000
1616875199999,2021-03-27 19:59,66570.3035305765000000
1616889599999,2021-03-27 23:59,66789.7217871820000000
1616903999999,2021-03-28 03:59,66868.1189780155000000
1616918399999,2021-03-28 07:59,67103.7764011990000000
1616932799999,2021-03-28 11:59,66559.9518146545000000
1616947199999,2021-03-28 15:59,66972.8056145875000000
1616961599999,2021-03-28 19:59,65628.9528705295000000
1616975999999,2021-03-28 23:59,66184.5523179265000000
1616990399999,2021-03-29 03:59,66191.6935080880000000
1617004799999,2021-03-29 07:59,66644.9245778335000000
1617019199999,2021-03-29 11:59,68979.4478202310000000
1617033599999,2021-03-29 15:59,69451.5411763090000000
1617047999999,2021-03-29 19:59,70075.1175077770000000
1617062399999,2021-03-29 23:59,70069.9226113735000000
1617076799999,2021-03-30 03:59,69399.5206304275000000
1617091199999,2021-03-30 07:59,70337.0199986215000000
1617105599999,2021-03-30 11:59,71597.3151973660000000
1617119999999,2021-03-30 15:59,70828.1990254240000000
1617134399999,2021-03-30 19:59,71724.6874905730000000
1617148799999,2021-03-30 23:59,71162.3728645765000000
1617163199999,2021-03-31 03:59,70698.8561612605000000
1617177599999,2021-03-31 07:59,70271.4046126885000000
1617191999999,2021-03-31 11:59,70077.0957525520000000
1617206399999,2021-03-31 15:59,71636.0716895785000000
1617220799999,2021-03-31 19:59,72441.8848512970000000
1617235199999,2021-03-31 23:59,72963.0546563005000000
1617249599999,2021-04-01 03:59,73228.8937965550000000
1617263999999,2021-04-01 07:59,73159.9272955915000000
1617278399999,2021-04-01 11:59,72901.6811387530000000
1617292799999,2021-04-01 15:59,73650.8813181235000000
1617307199999,2021-04-01 19:59,74302.8606141955000000
1617321599999,2021-04-01 23:59,74065.7845580650000000
1617335999999,2021-04-02 03:59,75288.2643750445000000
1617350399999,2021-04-02 07:59,75020.4443511565000000
1617364799999,2021-04-02 11:59,75331.5691174540000000
1617379199999,2021-04-02 15:59,76861.1977456660000000
1617393599999,2021-04-02 19:59,76291.7855568370000000
1617407999999,2021-04-02 23:59,77965.5499804735000000
1617422399999,2021-04-03 03:59,77172.2468586925000000
1617436799999,2021-04-03 07:59,77627.6841804775000000
1617451199999,2021-04-03 11:59,77265.1760379910000000
1617465599999,2021-04-03 15:59,76472.7333054595000000
1617479999999,2021-04-03 19:59,76913.0228436910000000
1617494399999,2021-04-03 23:59,74164.4845312930000000
1617508799999,2021-04-04 03:59,74536.9203576580000000
1617523199999,2021-04-04 07:59,75038.7638178520000000
1617537599999,2021-04-04 11:59,75066.3167148745000000
1617551999999,2021-04-04 15:59,76166.4927785335000000
1617566399999,2021-04-04 19:59,75820.7683215610000000
1617580799999,2021-04-04 23:59,76269.3810472735000000
1617595199999,2021-04-05 03:59,74830.4485995940000000
1617609599999,2021-04-05 07:59,74711.4903868840000000
1617623999999,2021-04-05 11:59,75622.1552674270000000
1617638399999,2021-04-05 15:59,77530.5643605145000000
1617652799999,2021-04-05 19:59,77322.2522306650000000
1617667199999,2021-04-05 23:59,77453.3123848195000000
1617681599999,2021-04-06 03:59,77350.5703921570000000
1617695999999,2021-04-06 07:59,76997.9809290625000000
1617710399999,2021-04-06 11:59,77303.9528783350000000
1617724799999,2021-04-06 15:59,76284.7187821855000000
1617739199999,2021-04-06 19:59,77147.2841488900000000
1617753599999,2021-04-06 23:59,76999.6974068665000000
1617767999999,2021-04-07 03:59,76800.7928884885000000
1617782399999,2021-04-07 07:59,76077.0431177335000000
1617796799999,2021-04-07 11:59,73102.1042595085000000
1617811199999,2021-04-07 15:59,73147.5440242585000000
1617825599999,2021-04-07 19:59,73146.8898061315000000
1617839999999,2021-04-07 23:59,72590.7349337155000000
1617854399999,2021-04-08 03:59,73650.6788213230000000
1617868799999,2021-04-08 07:59,74591.2669231915000000
1617883199999,2021-04-08 11:59,73586.9542097230000000
1617897599999,2021-04-08 15:59,75684.4417431025000000
1617911999999,2021-04-08 19:59,75629.3755529140000000
1617926399999,2021-04-08 23:59,76316.7557846140000000
1617940799999,2021-04-09 03:59,76096.2001874875000000
1617955199999,2021-04-09 07:59,76245.0865935460000000
1617969599999,2021-04-09 11:59,76616.0284498765000000
1617983999999,2021-04-09 15:59,75980.7661485760000000
1617998399999,2021-04-09 19:59,76389.2139883795000000
1618012799999,2021-04-09 23:59,76038.3275975080000000
1618027199999,2021-04-10 03:59,78348.7694159350000000
1618041599999,2021-04-10 07:59,79391.8272420070000000
1618055999999,2021-04-10 11:59,79386.3436550830000000
1618070399999,2021-04-10 15:59,79119.5631376480000000
1618084799999,2021-04-10 19:59,78150.8475479230000000
1618099199999,2021-04-10 23:59,78366.6511977535000000
1618113599999,2021-04-11 03:59,78869.5496513980000000
1618127999999,2021-04-11 07:59,78250.9417330435000000
1618142399999,2021-04-11 11:59,78655.2316759060000000
1618156799999,2021-04-11 15:59,78646.2042533650000000
1618171199999,2021-04-11 19:59,78552.9823331005000000
1618185599999,2021-04-11 23:59,78890.6525338915000000
1618199999999,2021-04-12 03:59,79015.4921687920000000
1618214399999,2021-04-12 07:59,79921.3535101825000000
1618228799999,2021-04-12 11:59,78971.1099824050000000
1618243199999,2021-04-12 15:59,78205.8957141535000000
1618257599999,2021-04-12 19:59,78727.3671627115000000
1618271999999,2021-04-12 23:59,78507.6552750310000000
1618286399999,2021-04-13 03:59,79407.8804372425000000
1618300799999,2021-04-13 07:59,79695.2144346235000000
1618315199999,2021-04-13 11:59,82125.1113533755000000
1618329599999,2021-04-13 15:59,83381.6187562075000000
1618343999999,2021-04-13 19:59,83711.3472081970000000
1618358399999,2021-04-13 23:59,84038.9658276310000000
1618372799999,2021-04-14 03:59,85217.3521322605000000
1618387199999,2021-04-14 07:59,86022.4266623500000000
1618401599999,2021-04-14 11:59,86578.2919481425000000
1618415999999,2021-04-14 15:59,84908.3805096640000000
1618430399999,2021-04-14 19:59,84158.6225421400000000
1618444799999,2021-04-14 23:59,86783.5334012425000000
1618459199999,2021-04-15 03:59,87817.9017225175000000
1618473599999,2021-04-15 07:59,87559.8920379700000000
1618487999999,2021-04-15 11:59,86403.0537362680000000
1618502399999,2021-04-15 15:59,87322.8631081660000000
1618516799999,2021-04-15 19:59,88032.8722228315000000
1618531199999,2021-04-15 23:59,88744.2991043110000000
1618545599999,2021-04-16 03:59,88257.8595812605000000
1618559999999,2021-04-16 07:59,85881.1422696685000000
1618574399999,2021-04-16 11:59,84599.4056323255000000
1618588799999,2021-04-16 15:59,86002.1454208930000000
1618603199999,2021-04-16 19:59,86099.1968538115000000
1618617599999,2021-04-16 23:59,85751.9067700330000000
1618631999999,2021-04-17 03:59,87731.3231367685000000
1618646399999,2021-04-17 07:59,87023.5593100675000000
1618660799999,2021-04-17 11:59,85217.4005757685000000
1618675199999,2021-04-17 15:59,83446.5951173050000000
1618689599999,2021-04-17 19:59,84432.0021508780000000
1618703999999,2021-04-17 23:59,82692.5316955450000000
1618718399999,2021-04-18 03:59,76592.6826305650000000
1618732799999,2021-04-18 07:59,78344.7221862160000000
1618747199999,2021-04-18 11:59,73308.9127614910000000
1618761599999,2021-04-18 15:59,76475.8836289825000000
1618775999999,2021-04-18 19:59,77616.9477411640000000
1618790399999,2021-04-18 23:59,78909.1316492785000000
1618804799999,2021-04-19 03:59,80044.1413779040000000
1618819199999,2021-04-19 07:59,80243.6072388775000000
1618833599999,2021-04-19 11:59,79634.4839623870000000
1618847999999,2021-04-19 15:59,74926.8376550530000000
1618862399999,2021-04-19 19:59,77699.3754459490000000
1618876799999,2021-04-19 23:59,76949.8295581330000000
1618891199999,2021-04-20 03:59,75047.6673204370000000
1618905599999,2021-04-20 07:59,74765.1412468195000000
1618919999999,2021-04-20 11:59,78033.4983900475000000
1618934399999,2021-04-20 15:59,77379.8703273925000000
1618948799999,2021-04-20 19:59,81154.0059064000000000
1618963199999,2021-04-20 23:59,81202.8146018470000000
1618977599999,2021-04-21 03:59,79546.2884831500000000
1618991999999,2021-04-21 07:59,79828.2230643520000000
1619006399999,2021-04-21 11:59,78793.9722779245000000
1619020799999,2021-04-21 15:59,83646.0855746575000000
1619035199999,2021-04-21 19:59,83177.8208845810000000
1619049599999,2021-04-21 23:59,80514.4765544215000000
1619063999999,2021-04-22 03:59,81134.4736736845000000
1619078399999,2021-04-22 07:59,83305.8694253635000000
1619092799999,2021-04-22 11:59,85337.7796796650000000
1619107199999,2021-04-22 15:59,86737.1435680120000000
1619121599999,2021-04-22 19:59,84166.0889172910000000
1619135999999,2021-04-22 23:59,80410.4949755860000000
1619150399999,2021-04-23 03:59,77087.8502762560000000
1619164799999,2021-04-23 07:59,72485.6612031250000000
1619179199999,2021-04-23 11:59,77255.6494381270000000
1619193599999,2021-04-23 15:59,78026.9774140510000000
1619207999999,2021-04-23 19:59,79229.6365340680000000
1619222399999,2021-04-23 23:59,79431.9821479060000000
1619236799999,2021-04-24 03:59,77315.9325002215000000
1619251199999,2021-04-24 07:59,76628.5547215660000000
1619265599999,2021-04-24 11:59,74119.7596694245000000
1619279999999,2021-04-24 15:59,76310.2658275675000000
1619294399999,2021-04-24 19:59,76972.7645666665000000
1619308799999,2021-04-24 23:59,75377.5185909850000000
1619323199999,2021-04-25 03:59,74565.2467339270000000
1619337599999,2021-04-25 07:59,74741.9797490020000000
1619351999999,2021-04-25 11:59,76837.6142163025000000
1619366399999,2021-04-25 15:59,78412.7962465135000000
1619380799999,2021-04-25 19:59,76285.6716783355000000
1619395199999,2021-04-25 23:59,77340.5620440235000000
1619409599999,2021-04-26 03:59,82069.0399648915000000
1619423999999,2021-04-26 07:59,82150.3771153225000000
1619438399999,2021-04-26 11:59,84083.3955569275000000
1619452799999,2021-04-26 15:59,83861.6607002410000000
1619467199999,2021-04-26 19:59,83697.0158344165000000
1619481599999,2021-04-26 23:59,84632.6984841475000000
