ts,datetime_utc,equity,B&H BTC,Equiponderado,B&H BTC filtrado
1617674399999,2021-04-06 01:59,14059.4043882140000000,58242.5436913849000000,85080.4778939217000000,35215.3601445250000000
1617677999999,2021-04-06 02:59,14036.1074804420000000,58188.3227092423000000,85275.9034405539000000,35182.5763311550000000
1617681599999,2021-04-06 03:59,14052.3557239340000000,58053.0475990630000000,85025.8322209950000000,35100.7844898700000000
1617685199999,2021-04-06 04:59,14119.1137031300000000,58237.5118574557000000,85588.3350904596000000,35212.3177299850000000
1617688799999,2021-04-06 05:59,14098.6742710220000000,58309.2154909468000000,86342.0271956079000000,35255.6721371800000000
1617692399999,2021-04-06 06:59,14107.3212154220000000,58285.6510560697000000,86021.3777962776000000,35241.4242942850000000
1617695999999,2021-04-06 07:59,14086.1956621220000000,58021.2420503491000000,85330.1890092453000000,35081.5537948150000000
1617699599999,2021-04-06 08:59,14261.1453932660000000,57932.8679906713000000,85692.4437477894000000,35028.1198922050000000
1617703199999,2021-04-06 09:59,14397.2159305220000000,58129.1491346497000000,86914.2030203346000000,35146.7980152850000000
1617706799999,2021-04-06 10:59,14370.5751020180000000,57811.6582430500000000,86353.7069051070000000,34954.8324380200000000
1617710399999,2021-04-06 11:59,14347.9754682740000000,57986.3262735766000000,87227.0890568988000000,35060.4425521900000000
1617713999999,2021-04-06 12:59,14405.4096046460000000,57917.5644800008000000,89475.0859491594000000,35018.8668794800000000
1617717599999,2021-04-06 13:59,14307.2839964780000000,57860.4808994221000000,89259.0752756598000000,34984.3522436650000000
1617721199999,2021-04-06 14:59,14169.7817893200000000,57399.8699912023000000,87712.4132952504000000,34705.8515331550000000
1617724799999,2021-04-06 15:59,14147.4235859040000000,57270.3696038197000000,88077.8814700416000000,34627.5512817850000000
1617728399999,2021-04-06 16:59,14228.5322040960000000,57526.8940823599000000,89155.4248439457000000,34782.6545332750000000
1617731999999,2021-04-06 17:59,14195.8628741280000000,57694.9454493733000000,89418.2133996384000000,34884.2639921050000000
1617735599999,2021-04-06 18:59,14225.6180302500000000,57686.6349992422000000,89442.8215136916000000,34879.2392169100000000
1617739199999,2021-04-06 19:59,14405.0179821186000000,57672.9856544500000000,89682.8547437880000000,34870.9863680200000000
1617742799999,2021-04-06 20:59,14317.8064885110000000,57659.9504311216000000,89752.1657206308000000,34863.1048374400000000
1617746399999,2021-04-06 21:59,14322.0539797680000000,57312.0704322487000000,89456.7075567486000000,34652.7649928350000000
1617749999999,2021-04-06 22:59,14401.2218686320000000,57338.4281292676000000,90017.7809889813000000,34668.7017351400000000
1617753599999,2021-04-06 23:59,14504.2900644648000000,57441.3529055635000000,90360.4384463235000000,34730.9334860950000000
1617757199999,2021-04-07 00:59,14379.7107636696000000,57092.8290696721000000,88977.7698971253000000,34520.2043561650000000
1617760799999,2021-04-07 01:59,14441.2189115520000000,56965.5969696316000000,89854.3496114538000000,34443.2755869400000000
1617764399999,2021-04-07 02:59,14458.9609417620000000,57236.8603633030000000,90577.6581327000000000,34607.2904778700000000
1617767999999,2021-04-07 03:59,14413.8679760658000000,57373.6014408475000000,90438.1093851360000000,34689.9686918950000000
1617771599999,2021-04-07 04:59,14404.2241481472000000,57099.0891465289000000,90607.8016822767000000,34523.9894073250000000
1617775199999,2021-04-07 05:59,14414.5313252526000000,57733.3973771551000000,90783.1054049748000000,34907.5133095150000000
1617778799999,2021-04-07 06:59,14248.6976721054000000,57509.0845599097000000,89680.3557651681000000,34771.8863022850000000
1617782399999,2021-04-07 07:59,14279.4480966996000000,57302.1058162393000000,88929.8728320354000000,34646.7400538050000000
1617785999999,2021-04-07 08:59,14204.9998560630000000,57201.5285687647000000,87878.7643704576000000,34585.9276970350000000
1617789599999,2021-04-07 09:59,14127.8927595438000000,56921.7863368189000000,87061.6742933427000000,34416.7862178250000000
1617793199999,2021-04-07 10:59,14095.1348440500000000,56249.1351354448000000,84537.0710929734000000,34010.0788772800000000
1617796799999,2021-04-07 11:59,14066.60544201,55786.5134746903000000,84092.9461734624000000,33730.3623987550000000
1617800399999,2021-04-07 12:59,14066.60544201,55927.9099891378000000,84563.7117346644000000,33815.8554451300000000
1617803999999,2021-04-07 13:59,14066.60544201,56218.5677348434000000,85984.3884370632000000,33991.5968078500000000
1617807599999,2021-04-07 14:59,14066.60544201,56122.8242176000000000,85171.2051425550000000,33933.7070855200000000
1617811199999,2021-04-07 15:59,14066.60544201,55916.2515865105000000,84128.7654572235000000,33808.8063862450000000
1617814799999,2021-04-07 16:59,14066.60544201,56050.9521959656000000,85455.7473622083000000,33890.2508652400000000
1617818399999,2021-04-07 17:59,14066.60544201,55519.1428186846000000,83455.7888297013000000,33568.7011867900000000
1617821999999,2021-04-07 18:59,14066.60544201,55329.5476745137000000,83247.2891402991000000,33454.0656420850000000
1617825599999,2021-04-07 19:59,14066.60544201,55621.4534735167000000,84064.4315224566000000,33630.5616194350000000
1617829199999,2021-04-07 20:59,14066.60544201,55716.7017315151000000,84271.1928060048000000,33688.1518915150000000
1617832799999,2021-04-07 21:59,14066.60544201,55672.8613831477000000,84888.2124788946000000,33661.6445553850000000
1617836399999,2021-04-07 22:59,14066.60544201,55917.6680279512000000,85333.2804758841000000,33809.6628139600000000
1617839999999,2021-04-07 23:59,14066.60544201,55422.9733784905000000,83736.9830667885000000,33510.5539372450000000
1617843599999,2021-04-08 00:59,14066.60544201,55894.2125501080000000,85055.6775892515000000,33795.4808501200000000
1617847199999,2021-04-08 01:59,14066.60544201,55968.4420057486000000,85262.3559012543000000,33840.3624535900000000
1617850799999,2021-04-08 02:59,14066.60544201,55961.8154370505000000,85124.7778058655000000,33836.3558092450000000
1617854399999,2021-04-08 03:59,14066.60544201,56004.5761202638000000,85570.1476353204000000,33862.2103438300000000
1617857999999,2021-04-08 04:59,14066.60544201,56380.3689301849000000,86546.1803577882000000,34089.4272045250000000
1617861599999,2021-04-08 05:59,14066.60544201,56332.7150856310000000,86013.9772862955000000,34060.6141014700000000
1617865199999,2021-04-08 06:59,14066.60544201,56584.3959287551000000,86943.8573276433000000,34212.7887295150000000
1617868799999,2021-04-08 07:59,14066.60544201,56485.0667345779000000,86906.9401898352000000,34152.7309873750000000
1617872399999,2021-04-08 08:59,14066.60544201,56353.6546465096000000,86512.2498446658000000,34073.2748580400000000
1617875999999,2021-04-08 09:59,14066.60544201,56138.9300482474000000,85882.4754560592000000,33943.4452076500000000
1617879599999,2021-04-08 10:59,14066.60544201,56200.1738064841000000,85930.4996966463000000,33980.4752255650000000
1617883199999,2021-04-08 11:59,14066.60544201,55886.2685918182000000,85448.5707676866000000,33790.6776681100000000
1617886799999,2021-04-08 12:59,14066.60544201,56927.2143781441000000,87357.2776729638000000,34420.0681925650000000
1617890399999,2021-04-08 13:59,14065.2775157276000000,56893.3683613408000000,87349.3059190974000000,34399.6037624800000000
1617893999999,2021-04-08 14:59,14074.6106980028000000,57141.4338119764000000,87733.1311518552000000,34549.5924037000000000
1617897599999,2021-04-08 15:59,14081.8270432340000000,57220.4474719237000000,88188.1914311601000000,34597.3666965850000000
