ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS),Equiponderado (OOS)
1666684799999,2022-10-25 07:59,10288.697150830000,4614.279228322263472808037134,8974.045490700000000000000000,5422.236100352969953981366959
1666699199999,2022-10-25 11:59,10288.697150830000,4613.175071078427097548268101,8974.045490700000000000000000,5409.747111426508275886916680
1666713599999,2022-10-25 15:59,10288.697150830000,4719.850522547337508197165829,8974.045490700000000000000000,5571.321273810597142190915857
1666727999999,2022-10-25 19:59,10288.697150830000,4845.241678294348902956997086,8974.045490700000000000000000,5815.701116546676003464218233
1666742399999,2022-10-25 23:59,10288.697150830000,4799.098899275411896159679546,8974.045490700000000000000000,5718.790460152789749916290108
1666756799999,2022-10-26 03:59,10288.697150830000,4839.990956509265534026883312,8974.045490700000000000000000,5762.765325129152355315911298
1666771199999,2022-10-26 07:59,10288.697150830000,4862.358505524556954061901433,8974.045490700000000000000000,5791.113164928781799344559611
1666785599999,2022-10-26 11:59,10288.697150830000,4925.226159851647541092690158,8974.045490700000000000000000,5830.459827141223042073627347
1666799999999,2022-10-26 15:59,10288.697150830000,4982.310133377690448191355380,8974.045490700000000000000000,5873.302159864258000860754719
1666814399999,2022-10-26 19:59,10288.697150830000,4962.444862791612631829450196,8974.045490700000000000000000,5840.513578581427341345746607
1666828799999,2022-10-26 23:59,10288.697150830000,4964.368773140721467509350782,8974.045490700000000000000000,5853.699905455448681233888850
1666843199999,2022-10-27 03:59,10288.697150830000,4960.482713230596042893800033,8974.045490700000000000000000,5872.117900892602985162280584
1666857599999,2022-10-27 07:59,10288.697150830000,4949.653846408469167781216733,8974.045490700000000000000000,5869.667530891961678216997646
1666871999999,2022-10-27 11:59,10288.697150830000,4928.818255820232112554666035,8974.045490700000000000000000,5836.336943669609247997368170
1666886399999,2022-10-27 15:59,10288.697150830000,4914.538300123430506110683422,8974.045490700000000000000000,5798.249372135055111073635689
1666900799999,2022-10-27 19:59,10288.697150830000,4930.431472572590453031601309,8974.045490700000000000000000,5837.996216680417413249883898
1666915199999,2022-10-27 23:59,10288.697150830000,4850.492400079432271887110860,8974.045490700000000000000000,5704.734857671132636332003078
1666929599999,2022-10-28 03:59,10288.697150830000,4849.942711408258318835710693,8974.045490700000000000000000,5701.691345621967327370371672
1666943999999,2022-10-28 07:59,10288.697150830000,4799.084559570946488688773454,8974.045490700000000000000000,5650.366010282357558626720279
1666958399999,2022-10-28 11:59,10288.697150830000,4821.485567896657192822572455,8974.045490700000000000000000,5676.364977735910375736605233
1666972799999,2022-10-28 15:59,10288.697150830000,4895.777186781189065008547270,8974.045490700000000000000000,5793.981955177988611265363649
1666987199999,2022-10-28 19:59,10288.697150830000,4925.560752955840382080498955,8974.045490700000000000000000,5871.006465806264113489703142
1667001599999,2022-10-28 23:59,10288.697150830000,4921.409408513104919253185516,8974.045490700000000000000000,5867.182950817971164810146256
1667015999999,2022-10-29 03:59,10288.697150830000,4960.229378451707177574459086,8974.045490700000000000000000,5943.113494602508144147496023
1667030399999,2022-10-29 07:59,10288.697150830000,4964.531289791329418846286484,8974.045490700000000000000000,5943.396043482996428283464030
1667044799999,2022-10-29 11:59,10288.697150830000,4946.993831230136081928136791,8974.045490700000000000000000,5932.753119114643622954324743
1667059199999,2022-10-29 15:59,10288.697150830000,5000.633885733736961430855747,8974.045490700000000000000000,5972.911695226615554518739350
1667073599999,2022-10-29 19:59,10288.697150830000,4979.991881155782907061537283,8974.045490700000000000000000,6021.632062994662331585532128
1667087999999,2022-10-29 23:59,10288.697150830000,4973.469705574766742377750078,8974.045490700000000000000000,6028.184181528773769146095778
1667102399999,2022-10-30 03:59,10288.697150830000,4965.303243881717187696731067,8974.045490700000000000000000,6052.845692848442696582376754
1667116799999,2022-10-30 07:59,10288.697150830000,4983.311522739524736576297425,8974.045490700000000000000000,6097.083141978392989360487105
1667131199999,2022-10-30 11:59,10288.697150830000,4963.950531760480416274589785,8974.045490700000000000000000,6007.188745303424534972233888
1667145599999,2022-10-30 15:59,10288.697150830000,4941.690530528679552271367349,8974.045490700000000000000000,5942.029520968866761341469265
1667159999999,2022-10-30 19:59,10288.697150830000,4934.709484404770348518585222,8974.045490700000000000000000,5989.818531938546308214468341
1667174399999,2022-10-30 23:59,10288.697150830000,4929.927192965556956971403764,8974.045490700000000000000000,5987.086521542461435429282053
1667188799999,2022-10-31 03:59,10288.697150830000,4903.300751724039518077276519,8974.045490700000000000000000,5981.985455510330609638655397
1667203199999,2022-10-31 07:59,10288.697150830000,4910.609221099908859082414399,8974.045490700000000000000000,6000.572302266304206777845106
1667217599999,2022-10-31 11:59,10288.697150830000,4954.558025335638522831099966,8974.045490700000000000000000,6122.417633438657950668822583
1667231999999,2022-10-31 15:59,10288.697150830000,4875.926255899576656117548177,8974.045490700000000000000000,5997.030205097753736985049437
1667246399999,2022-10-31 19:59,10288.697150830000,4868.801812731013377655705136,8974.045490700000000000000000,5981.338422304506583945799071
1667260799999,2022-10-31 23:59,10288.697150830000,4897.247006488893330776421631,8974.045490700000000000000000,6016.095048031090765323140594
1667275199999,2022-11-01 03:59,10288.697150830000,4895.294416730853680154708862,8974.045490700000000000000000,6022.311966180022878518418883
1667289599999,2022-11-01 07:59,10288.697150830000,4923.242500733932840950680857,8974.045490700000000000000000,6045.546924249965428350425298
1667303999999,2022-11-01 11:59,10288.697150830000,4904.906798624165154818758748,8974.045490700000000000000000,6022.189887984885467634769178
1667318399999,2022-11-01 15:59,10288.697150830000,4886.076376710340910940576487,8974.045490700000000000000000,5968.559252972391465676941175
1667332799999,2022-11-01 19:59,10288.697150830000,4887.856890014795671911416160,8974.045490700000000000000000,5977.632659266695721659550041
1667347199999,2022-11-01 23:59,10288.697150830000,4895.545361558998310895565460,8974.045490700000000000000000,5982.737835989887410829278361
1667361599999,2022-11-02 03:59,10288.697150830000,4904.321260691827683090093352,8974.045490700000000000000000,6011.008158127500380223570048
1667375999999,2022-11-02 07:59,10288.697150830000,4880.732446846232393449573120,8974.045490700000000000000000,5943.471623168978931728630971
1667390399999,2022-11-02 11:59,10288.697150830000,4883.048309117395700000906869,8974.045490700000000000000000,5978.357453024188619411121479
1667404799999,2022-11-02 15:59,10288.697150830000,4877.718718957752589980809592,8974.045490700000000000000000,5991.940580961395914694907485
1667419199999,2022-11-02 19:59,10288.697150830000,4839.873848922798039681150233,8974.045490700000000000000000,5924.912903586489905503446365
1667433599999,2022-11-02 23:59,10288.697150830000,4816.251575766783465941849121,8974.045490700000000000000000,5906.692870739725172972116567
1667447999999,2022-11-03 03:59,10288.697150830000,4854.201603634484337694819817,8974.045490700000000000000000,6033.627604726683263957576352
1667462399999,2022-11-03 07:59,10288.697150830000,4852.399580773331465517621007,8974.045490700000000000000000,6050.242683566864986565924174
1667476799999,2022-11-03 11:59,10288.697150830000,4811.184880189006159555030185,8974.045490700000000000000000,6008.473945678483655077994640
1667491199999,2022-11-03 15:59,10288.697150830000,4839.381519069485716513374431,8974.045490700000000000000000,6019.883327969256656974940966
1667505599999,2022-11-03 19:59,10288.697150830000,4842.705940554716015185103270,8974.045490700000000000000000,6060.784862273035882830793674
1667519999999,2022-11-03 23:59,10288.697150830000,4829.630520033008636297232329,8974.045490700000000000000000,5998.062164859064658241605461
1667534399999,2022-11-04 03:59,10288.697150830000,4856.868788665050127283352804,8974.045490700000000000000000,6152.431051348476998923447361
