ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS),Equiponderado (OOS)
1732910399999,2024-11-29 19:59,10027.43667519912343453736000,23144.57863788660920210215307,31002.46776166859727342940674,24583.36176948437622444156459
1732924799999,2024-11-29 23:59,10027.43667519912343453736000,23175.55532151780358564257804,31043.96252198381753243032661,25042.57976434067026625345799
1732939199999,2024-11-30 03:59,10027.43667519912343453736000,22980.57366001548708441069298,30782.77519133766486508117273,25022.97700410311188515260048
1732953599999,2024-11-30 07:59,10027.43667519912343453736000,23014.66299267356666393288016,30828.43949500535486531431830,25723.94016788099498051611006
1732967999999,2024-11-30 11:59,10027.43667519912343453736000,22892.10927365398215995729388,30664.27288320784684899065136,25325.50598199059710689219740
1732982399999,2024-11-30 15:59,10027.43667519912343453736000,22981.85533902655745922671271,30784.49206212985828794150096,25357.02308029635126202337939
1732996799999,2024-11-30 19:59,10027.43667519912343453736000,23070.85237121084487711014600,30903.70787500448396028566523,25478.50001486258504096873049
1733011199999,2024-11-30 23:59,10027.43667519912343453736000,22925.39963757788799933442979,30708.86692975832536484333258,25523.21257759977832437731075
1733025599999,2024-12-01 03:59,10027.43667519912343453736000,22908.45959810689477078280720,30686.17493064221044006229679,25112.92172559416174458350676
1733039999999,2024-12-01 07:59,10027.43667519912343453736000,22940.85112220485515249676045,30729.56493793582603598695561,25071.40586657776324331546047
1733054399999,2024-12-01 11:59,10027.43667519912343453736000,23092.06546667978516233039096,30932.12383852425673456579160,25326.96540673892070690099455
1733068799999,2024-12-01 15:59,10027.43667519912343453736000,23072.83552574745469639875538,30906.36440606327675187288924,25548.61244352857459902970398
1733083199999,2024-12-01 19:59,10027.43667519912343453736000,23108.67260251153933248824219,30954.36989717486687418830057,26269.28797441886533693173566
1733097599999,2024-12-01 23:59,10027.43667519912343453736000,23110.20633713517642294526024,30956.42440860522820581151338,27304.24633492314141825108417
1733111999999,2024-12-02 03:59,10027.43667519912343453736000,22943.41448022699590212879991,30732.99867952021288170761207,27418.73569921292572147824000
1733126399999,2024-12-02 07:59,10027.43667519912343453736000,22828.38200557107669600677655,30578.90713695407369007266161,27757.31589992559272930481543
1733140799999,2024-12-02 11:59,10027.43667519912343453736000,22621.19466992437386095183159,30301.36971766909200687552112,26738.47608042052621579859195
1733155199999,2024-12-02 15:59,10027.43667519912343453736000,23077.58653625602354404700663,30912.72861356383790006386475,29135.91854252459037036576073
1733169599999,2024-12-02 19:59,10027.43667519912343453736000,22784.63133372565215752821057,30520.30100391962696056027006,29704.12463436373061031257202
