ts,datetime_utc,equity,B&H BTC,Equiponderado,B&H BTC filtrado
1589860799999,2020-05-19 03:59,10218.3808254980000000,9439.6877839000000000,8675.2209064725000000,6293.7737912300000000
1589875199999,2020-05-19 07:59,10249.1863825046000000,9483.2606922751000000,8739.9025467858000000,6322.8251800607000000
1589889599999,2020-05-19 11:59,10323.2231010752000000,9659.5630783102000000,8840.8314950076000000,6440.3713655114000000
1589903999999,2020-05-19 15:59,10311.3729918464000000,9595.2586179394000000,8819.7990628932000000,6397.4976177758000000
1589918399999,2020-05-19 19:59,10324.0285418282000000,9552.7356591637000000,8828.4672171621000000,6369.1462624109000000
1589932799999,2020-05-19 23:59,10415.5764862442000000,9682.8897887497000000,8964.0786320001000000,6455.9239958129000000
1589947199999,2020-05-20 03:59,10370.1656287580000000,9632.2445783560000000,8965.5211221660000000,6422.1572872220000000
1589961599999,2020-05-20 07:59,10400.6106958154000000,9671.9742749899000000,9005.2683414597000000,6448.6462894043000000
1589975999999,2020-05-20 11:59,10389.4206590534000000,9638.9900092729000000,8991.0201629007000000,6426.6546720353000000
1589990399999,2020-05-20 15:59,10222.3570323110000000,9325.2828983050000000,8759.4006514635000000,6217.4965598150000000
1590004799999,2020-05-20 19:59,10303.3733772686000000,9441.6589156951000000,8885.5656383853000000,6295.0880050007000000
1590019199999,2020-05-20 23:59,10325.2568982422000000,9421.2938555407000000,8931.3497436501000000,6281.5099973999000000
1590033599999,2020-05-21 03:59,10295.0873753648000000,9393.4999067113000000,8911.4185225224000000,6262.9789228241000000
1590047999999,2020-05-21 07:59,10268.3853557132000000,9368.2020644767000000,8845.2566269461000000,6246.1120787519000000
1590062399999,2020-05-21 11:59,10224.0758807420000000,9300.9854797453000000,8835.6882356154000000,6201.2967287621000000
1590076799999,2020-05-21 15:59,10114.90337553,8998.2929343862000000,8531.2268380791000000,5999.4823638434000000
1590091199999,2020-05-21 19:59,10114.90337553,8979.6216608497000000,8523.6349325841000000,5987.0336555129000000
1590105599999,2020-05-21 23:59,10112.5140274680000000,8982.7120785385000000,8500.8013436295000000,5989.0941313745000000
1590119999999,2020-05-22 03:59,10077.8953806840000000,8910.3051769195000000,8456.4048355785000000,5940.8182385915000000
1590134399999,2020-05-22 07:59,10196.5121957200000000,8995.7473018669000000,8616.3344701542000000,5997.7851128933000000
1590148799999,2020-05-22 11:59,10271.3196334000000000,9079.1390535400000000,8711.6053745835000000,6053.3849407100000000
1590163199999,2020-05-22 15:59,10321.1704057270000000,9135.2915467381000000,8779.4953443558000000,6090.8235229517000000
1590177599999,2020-05-22 19:59,10403.3039659510000000,9086.7858562828000000,8837.2762729884000000,6058.4832976496000000
1590191999999,2020-05-22 23:59,10392.5210916190000000,9083.1011275000000000,8818.0425933210000000,6056.0265764300000000
1590206399999,2020-05-23 03:59,10419.2539929580000000,9198.6054886189000000,8863.4388189537000000,6133.0368617573000000
1590220799999,2020-05-23 07:59,10387.0255166950000000,9167.5725443272000000,8825.4681127686000000,6112.3462499804000000
1590235199999,2020-05-23 11:59,10328.4687560710000000,9085.3297941025000000,8749.8466415370000000,6057.5124965225000000
1590249599999,2020-05-23 15:59,10333.3786912210000000,9111.6082496422000000,8762.1420721986000000,6075.0331454354000000
1590263999999,2020-05-23 19:59,10329.7350185410000000,9093.9770205202000000,8756.1494358336000000,6063.2778664814000000
1590278399999,2020-05-23 23:59,10298.8709944600000000,9092.1643716835000000,8714.4061709835000000,6062.0693181395000000
