ts,datetime_utc,equity
1685030399999,2023-05-25 15:59,25977.5033551588000000
1685044799999,2023-05-25 19:59,26217.7635200932000000
1685059199999,2023-05-25 23:59,26222.8250695771000000
1685073599999,2023-05-26 03:59,26184.5415299386000000
1685087999999,2023-05-26 07:59,26250.1039487917000000
1685102399999,2023-05-26 11:59,26212.4246254321000000
1685116799999,2023-05-26 15:59,26496.6241905829000000
1685131199999,2023-05-26 19:59,26513.4630049129000000
1685145599999,2023-05-26 23:59,26452.7541266608000000
1685159999999,2023-05-27 03:59,26498.3972186800000000
1685174399999,2023-05-27 07:59,26469.4740787720000000
1685188799999,2023-05-27 11:59,26445.9195490798000000
1685203199999,2023-05-27 15:59,26437.0345982245000000
1685217599999,2023-05-27 19:59,26476.2096045040000000
1685231999999,2023-05-27 23:59,26599.6975446523000000
1685246399999,2023-05-28 03:59,26929.5005810827000000
1685260799999,2023-05-28 07:59,26968.2694747813000000
1685275199999,2023-05-28 11:59,26896.3479272224000000
1685289599999,2023-05-28 15:59,27013.6352216233000000
1685303999999,2023-05-28 19:59,27265.0486247551000000
1685318399999,2023-05-28 23:59,27798.9479960500000000
1685332799999,2023-05-29 03:59,27689.9810569651000000
1685347199999,2023-05-29 07:59,27643.3078257163000000
1685361599999,2023-05-29 11:59,27649.2509366563000000
1685375999999,2023-05-29 15:59,27368.5776173299000000
1685390399999,2023-05-29 19:59,27375.9371697106000000
1685404799999,2023-05-29 23:59,27473.4636202360000000
1685419199999,2023-05-30 03:59,27565.4134516627000000
1685433599999,2023-05-30 07:59,27470.3137714378000000
1685447999999,2023-05-30 11:59,27755.7613898860000000
1685462399999,2023-05-30 15:59,27410.7439894492000000
1685476799999,2023-05-30 19:59,27586.1846243980000000
1685491199999,2023-05-30 23:59,27431.8618436560000000
1685505599999,2023-05-31 03:59,27395.1136076770000000
1685519999999,2023-05-31 07:59,26910.3538586710000000
1685534399999,2023-05-31 11:59,26840.3043910582000000
1685548799999,2023-05-31 15:59,26656.4245385746000000
1685563199999,2023-05-31 19:59,26754.5155846393000000
1685577599999,2023-05-31 23:59,26952.4013685715000000
1685591999999,2023-06-01 03:59,26526.0723052906000000
1685606399999,2023-06-01 07:59,26548.5867905683000000
1685620799999,2023-06-01 11:59,26638.0207050304000000
1685635199999,2023-06-01 15:59,26639.5262931352000000
1685649599999,2023-06-01 19:59,26608.0278051532000000
1685663999999,2023-06-01 23:59,26563.7021027257000000
1685678399999,2023-06-02 03:59,26744.0458042000000000
1685692799999,2023-06-02 07:59,26793.2250472285000000
1685707199999,2023-06-02 11:59,26873.5560967675000000
1685721599999,2023-06-02 15:59,26839.0563377608000000
1685735999999,2023-06-02 19:59,26980.7995336798000000
1685750399999,2023-06-02 23:59,26984.3356846891000000
