ts,datetime_utc,equity,B&H BTC,B&H BTC filtrado
1687766399999,2023-06-26 07:59,28026.5412065400000000,30116.0579945221000000,34677.0072359757000000
1687780799999,2023-06-26 11:59,27980.2709231400000000,30035.4297894361000000,34584.1682299137000000
1687795199999,2023-06-26 15:59,28035.2552537700000000,30131.2426429738000000,34694.4915352746000000
1687809599999,2023-06-26 19:59,27935.4103486200000000,29957.2580702053000000,34494.1577341101000000
1687823999999,2023-06-26 23:59,27949.0640612400000000,29981.0503243351000000,34521.5532245967000000
1687838399999,2023-06-27 03:59,28007.9421442200000000,30083.6482295293000000,34639.6891490181000000
1687852799999,2023-06-27 07:59,28030.4804333700000000,30122.9222876578000000,34684.9110973026000000
1687867199999,2023-06-27 11:59,28211.1732796500000000,30437.7883052590000000,35047.4622428430000000
1687881599999,2023-06-27 15:59,28080.2295144900000000,30209.6124659026000000,34784.7301367442000000
1687895999999,2023-06-27 19:59,28165.0905784800000000,30357.4869712747000000,34954.9996111299000000
1687910399999,2023-06-27 23:59,28190.3345991900000000,30401.4758974156000000,35005.6504742652000000
1687924799999,2023-06-28 03:59,28054.0873728000000000,30164.0585205475000000,34732.2772388475000000
1687939199999,2023-06-28 07:59,27902.5322995800000000,29899.9664807437000000,34428.1895755029000000
1687953599999,2023-06-28 11:59,27973.3588021800000000,30023.3850845977000000,34570.2994054209000000
1687967999999,2023-06-28 15:59,28030.3894844100000000,30122.7638046994000000,34684.7286127698000000
1687982399999,2023-06-28 19:59,27853.5733375500000000,29814.6531232000000000,34329.9558704400000000
1687996799999,2023-06-28 23:59,27840.7324812600000000,29792.2773105109000000,34304.1913354653000000
1688011199999,2023-06-29 03:59,27896.7740935500000000,29889.9325284400000000,34416.6360235200000000
1688025599999,2023-06-29 07:59,27990.1616225400000000,30052.6648111621000000,34604.0134228557000000
1688039999999,2023-06-29 11:59,28178.1133326900000000,30380.1797498806000000,34981.1291151702000000
1688054399999,2023-06-29 15:59,28068.8950003500000000,30189.8615272120000000,34761.9880018440000000
1688068799999,2023-06-29 19:59,28129.2566882400000000,30295.0446856651000000,34883.1007052067000000
