ts,datetime_utc,equity,B&H BTC (OOS)
1685419199999,2023-05-30 03:59,11146.04700147741928445368649,6671.039118056951483924636185
1685433599999,2023-05-30 07:59,11146.04700147741928445368649,6648.024401726872347249005611
1685447999999,2023-05-30 11:59,11146.04700147741928445368649,6717.104507465880842272265885
1685462399999,2023-05-30 15:59,11146.04700147741928445368649,6633.608142586252002704974544
1685476799999,2023-05-30 19:59,11146.04700147741928445368649,6676.065871535149166416959622
1685491199999,2023-05-30 23:59,11146.04700147741928445368649,6638.718795144915550188824600
1685505599999,2023-05-31 03:59,11146.04700147741928445368649,6629.825492615533861087002974
1685519999999,2023-05-31 07:59,11146.04700147741928445368649,6512.510606958407212935210420
1685534399999,2023-05-31 11:59,11146.04700147741928445368649,6495.558198471133006647317553
1685548799999,2023-05-31 15:59,11146.04700147741928445368649,6451.058126192038215141598776
1685563199999,2023-05-31 19:59,11146.04700147741928445368649,6474.796771730708529744116178
1685577599999,2023-05-31 23:59,11146.04700147741928445368649,6522.686366860624266907510367
1685591999999,2023-06-01 03:59,11146.04700147741928445368649,6419.512071936872978327589989
1685606399999,2023-06-01 07:59,11146.04700147741928445368649,6424.960717933984724777304425
1685620799999,2023-06-01 11:59,11146.04700147741928445368649,6446.604283577593153591414252
1685635199999,2023-06-01 15:59,11146.04700147741928445368649,6446.968645298473481554615570
1685649599999,2023-06-01 19:59,11146.04700147741928445368649,6439.345814559003462324482747
1685663999999,2023-06-01 23:59,11146.04700147741928445368649,6428.618717842296438407865018
1685678399999,2023-06-02 03:59,11146.04700147741928445368649,6472.263019500639407000012280
1685692799999,2023-06-02 07:59,11146.04700147741928445368649,6484.164703343868540798002677
1685707199999,2023-06-02 11:59,11146.04700147741928445368649,6503.605318846101828834599277
1685721599999,2023-06-02 15:59,11146.04700147741928445368649,6495.256161781455892677821724
1685735999999,2023-06-02 19:59,11146.04700147741928445368649,6529.558900109070979213419424
1685750399999,2023-06-02 23:59,11146.04700147741928445368649,6530.414670729822802126990939
1685764799999,2023-06-03 03:59,11146.04700147741928445368649,6506.589728994101883533189014
1685779199999,2023-06-03 07:59,11146.04700147741928445368649,6514.073526971657040777363439
1685793599999,2023-06-03 11:59,11146.04700147741928445368649,6503.375195653966884857840551
1685807999999,2023-06-03 15:59,11146.04700147741928445368649,6545.437400366382113609771567
1685822399999,2023-06-03 19:59,11146.04700147741928445368649,6495.361634911184408667169474
1685836799999,2023-06-03 23:59,11146.04700147741928445368649,6488.855860500202763324219637
1685851199999,2023-06-04 03:59,11146.04700147741928445368649,6486.976521097767387514023369
1685865599999,2023-06-04 07:59,11146.04700147741928445368649,6508.327638518037658357668982
1685879999999,2023-06-04 11:59,11146.04700147741928445368649,6519.857769290632247193184351
1685894399999,2023-06-04 15:59,11146.04700147741928445368649,6515.171406367467502666483198
1685908799999,2023-06-04 19:59,11146.04700147741928445368649,6523.347971038012230840691706
1685923199999,2023-06-04 23:59,11146.04700147741928445368649,6499.880199673417423210817389
1685937599999,2023-06-05 03:59,11146.04700147741928445368649,6434.767321882151972786887247
