run,start_ts,end_ts,days,bars,initial_equity,final_equity,total_return,cagr,sharpe,sortino,calmar,max_drawdown,longest_underwater_days,trades,win_rate,profit_factor,expectancy,avg_trade_hours,exposure,fees_quote,avg_shortfall_bps,volatility_annualized,closes_per_month,active_months,gate,plateau_pass_rate,mc_dd_p95
WF-0033-supertrend-1h-b-10bps-walkforward,1627779599999,1754006399999,1460.9583333333333,35057,10000,6547.377698867164821200288577,-0.3452622301132835178799711423,-0.10047023759455442,-1.0022043155550016,-1.5474298183299757,-0.2668519824390335,0.37650174705937745,1445.5,749,0.30440587449933243,0.7614171740399824,-5.204128742875433911882510013,24.197596518691586,0.23858287931083663,2263.802215053700,10.416049065638447,0.10061215245525769,15.604166666666666,32,no aprobado (8 criterios fallan),0.0,0.6413369338239928
WF-0034-supertrend-1h-b-20bps-walkforward,1627779599999,1754006399999,1460.9583333333333,35057,10000,5334.652100337666998828775884,-0.4665347899662333001171224116,-0.1453769936472259,-1.4591573788152936,-2.1867052456927167,-0.29500703290583696,0.49279161996666243,1445.5,758,0.2862796833773087,0.6724921910588451,-7.663514697846042216358839050,23.86147729514805,0.23841172946915024,2249.136741907300,20.40966748036488,0.1039538794601852,15.791666666666666,32,no aprobado (8 criterios fallan),0.0,0.8307197320955079
WF-0035-ml-logistic-a-5bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10029.44552811403975708833000,0.002944552811403975708833,0.0007354106714110298,0.2063587230942637,0.3847695854750137,0.16008524935765467,0.004593869043911791,486.8333333333333,3,0.6666666666666666,2.650220628742634,9.920418343333333333333333333,118.66666638888888,0.00946840063883185,3.6864249700,5.903511408102706,0.003593250868350118,0.0625,2,incompleto (16 criterios sin evaluar),0.4166666666666667,0.003606942551999964
WF-0036-ml-logistic-a-10bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10027.43667519912343453736000,0.002743667519912343453736,0.0006852904871328391,0.19163596198380903,0.3536854589993707,0.1473254158750898,0.004651542865583114,486.8333333333333,3,0.6666666666666666,2.45382918509769,9.252009676666666666666666667,118.66666638888888,0.00946840063883185,3.6861409700,11.428690309101775,0.0036082672906187175,0.0625,2,incompleto (16 criterios sin evaluar),0.4166666666666667,0.0038183342739999716
WF-0037-ml-logistic-a-20bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10023.86492110939738192440000,0.00238649211093973819244,0.0005961578595032879,0.16570547433704316,0.3003707268317589,0.1261485369471834,0.004725840457054931,486.8333333333333,3,0.6666666666666666,2.1424771972478824,8.063472566666666666666666667,118.66666638888888,0.00946840063883185,3.6860823000,21.035038400976614,0.00363602239739035,0.0625,2,incompleto (16 criterios sin evaluar),0.4166666666666667,0.004234730943999967
WF-0038-ml-logistic-b-5bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10008.68522579062189539716000,0.000868522579062189539716,0.00021708472908477106,0.03338115991793518,0.055982805325027654,0.020158102827713343,0.010769105155388092,486.8333333333333,4,0.5,1.104748915304107,2.2678385975,93.99999972222223,0.00946840063883185,9.5798756100,5.825971162714742,0.0072965955616405296,0.08333333333333333,2,incompleto (16 criterios sin evaluar),0.4166666666666667,0.01587503948899994
WF-0039-ml-logistic-b-10bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10004.19285920051462514672000,0.000419285920051462514672,0.00010481696057196288,0.017908530370852018,0.029588576178372614,0.00955805568144201,0.010966347557011646,486.8333333333333,4,0.5,1.0514874717556375,1.1478925600,93.99999972222223,0.00946840063883185,9.5796797600,11.158950938477972,0.007359182632874746,0.08333333333333333,2,incompleto (16 criterios sin evaluar),0.375,0.01655563481600002
WF-0040-ml-logistic-b-20bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,9995.994177660240273553440000,-0.000400582233975972644656,-0.00010017203247392192,-0.009659785954668888,-0.015535610518811688,-0.00881843260060252,0.01135939197030067,486.8333333333333,4,0.5,0.9620033404388183,-0.8965436500,93.99999972222223,0.00946840063883185,9.5800946000,20.875276961762324,0.007481033237760151,0.08333333333333333,2,incompleto (16 criterios sin evaluar),0.375,0.01790884955799993
WF-0041-ml-lightgbm-a-5bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,9999.083694890000,-0.000091630511,-2.2911028525363086e-05,-0.00853221977511058,-0.013158824719925279,-0.006002993944904207,0.003816600305721063,1360.8333333333333,3,0.3333333333333333,0.9712190083296639,-0.1863260633333333333333333333,103.99999972222223,0.005361624458133698,2.3923941900,5.126075351017315,0.002359161511355877,0.0625,1,incompleto (16 criterios sin evaluar),0.5833333333333334,0.00383047465439995
WF-0042-ml-lightgbm-a-10bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,9997.887862480000,-0.000211213752,-5.281364548925804e-05,-0.0213113216822466,-0.03249799929613084,-0.013689745114960714,0.0038578983790970023,1360.8333333333333,3,0.3333333333333333,0.9137800261614633,-0.5848774793333333333333333333,103.99999972222223,0.005361624458133698,2.3923914380,10.128375081563492,0.0023486920880424196,0.0625,1,incompleto (16 criterios sin evaluar),0.5833333333333334,0.003961755697400076
WF-0043-ml-lightgbm-a-20bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,9995.506844650000,-0.000449315535,-0.00011236063243624805,-0.04709160816578716,-0.0702333047627346,-0.02852250402279109,0.00393936774788306,1360.8333333333333,3,0.3333333333333333,0.8138036874241174,-1.378431267333333333333333333,103.99999972222223,0.005361624458133698,2.3923983020,20.06676694093154,0.0023283580966352996,0.0625,1,incompleto (16 criterios sin evaluar),0.5833333333333334,0.004224497696000072
WF-0044-ml-lightgbm-b-5bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,9930.170529750000,-0.006982947025,-0.0017505263825393635,-0.2754234514771694,-0.35196932086602634,-0.13942420487044815,0.012555397996825146,1366.0,5,0.2,0.35412770307318436,-13.773040010800,91.19999972222222,0.005361624458133698,8.053668054000,5.186750339336151,0.00628878339145055,0.10416666666666667,1,incompleto (16 criterios sin evaluar),0.5833333333333334,0.01694935517239992
WF-0045-ml-lightgbm-b-10bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,9926.147477620000,-0.007385252238,-0.0018516595446141926,-0.2924117632759917,-0.36976545653038495,-0.1439921848935473,0.012859444739887205,1366.0,5,0.2,0.3380602291997733,-14.577435592800,91.19999972222222,0.005361624458133698,8.052509964000,10.217529155741934,0.006270253134330981,0.10416666666666667,1,incompleto (16 criterios sin evaluar),0.5833333333333334,0.017364735873000064
WF-0046-ml-lightgbm-b-20bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,9918.134583680000,-0.008186541632,-0.0020531826379392992,-0.3262753830153799,-0.40426597988019153,-0.1524900043016946,0.01346437523784949,1366.0,5,0.2,0.3090185220808702,-16.179821639200,91.19999972222222,0.005361624458133698,8.052601696000,20.155131862033787,0.006238841300522315,0.10416666666666667,1,incompleto (16 criterios sin evaluar),0.4583333333333333,0.01819764315960001
WF-0047-ml-control-donchian-a-5bps,1627790399999,1754006399999,1460.8333333333333,8766,10000,10680.62923885717841496709753,0.068062923885717841496709753,0.016599813105584893,0.6052169899655586,1.0068108406476166,0.3247033464693,0.051123012084984376,777.3333333333334,163,0.34355828220858897,1.4012276440096543,4.452181305900613496932515337,97.42331261588275,0.2676249144421629,142.935674483600,5.376597939113552,0.0278387362877205,3.3958333333333335,30,no aprobado (1 criterios fallan),1.0,0.06068148204966584
WF-0048-ml-control-donchian-a-10bps,1627790399999,1754006399999,1460.8333333333333,8766,10000,10612.11764299439091105784563,0.061211764299439091105784563,0.014965429015919796,0.5460787384565376,0.9018902539216902,0.2784746074245369,0.053740731172321476,779.0,163,0.34355828220858897,1.3578149789775056,4.057101630598773006134969325,97.42331261588275,0.2676249144421629,142.877271808700,10.350076400686257,0.02791104192829664,3.3958333333333335,30,no aprobado (1 criterios fallan),1.0,0.06400064115010229
WF-0049-ml-control-donchian-a-20bps,1627790399999,1754006399999,1460.8333333333333,8766,10000,10477.53014316829858630598171,0.047753014316829858630598171,0.011731583213991703,0.42959866169019245,0.699674816690113,0.19921114223804254,0.058890196011091245,783.8333333333334,163,0.3374233128834356,1.277036968842254,3.274682360975460122699386503,97.27607335378322,0.2673967602099019,142.749883538500,20.36931637481413,0.028060686835727263,3.3958333333333335,30,no aprobado (2 criterios fallan),1.0,0.0710823268916729
WF-0050-ml-control-donchian-b-5bps,1627790399999,1754006399999,1460.8333333333333,8766,10000,13628.54717864676709072247974,0.362854717864676709072247974,0.08047873850835585,1.00775872215951,1.77423153291166,0.9023682341936333,0.08918613871672088,775.6666666666666,213,0.352112676056338,1.7011877125186727,15.79055496211502347417840376,100.60093870109546,0.2806297056810404,381.930174598400,5.396039463479881,0.07995776283261882,4.4375,30,aprobado (falta el holdout),1.0,0.10666255015935315
WF-0051-ml-control-donchian-b-10bps,1627790399999,1754006399999,1460.8333333333333,8766,10000,13404.60966339928563744717316,0.340460966339928563744717316,0.07601214341047302,0.9543868787372944,1.6680004643263062,0.8233293435837714,0.09232288877207862,775.8333333333334,213,0.352112676056338,1.6520260179305146,14.97941142301361502347417840,100.60093870109546,0.2806297056810404,381.468120727500,10.367508409661552,0.08010064375187596,4.4375,30,aprobado (falta el holdout),1.0,0.11256672419080209
WF-0052-ml-control-donchian-b-20bps,1627790399999,1754006399999,1460.8333333333333,8766,10000,12889.06383503220492034260519,0.288906383503220492034260519,0.06551234902131031,0.8273753054409351,1.4190512749022903,0.6291650417803358,0.10412585676396025,776.6666666666666,214,0.3411214953271028,1.5406537021622517,13.00471442431121495327102804,99.77570066978193,0.2792607802874743,381.908291457400,20.39884045412791,0.08059286387077384,4.458333333333333,30,aprobado (falta el holdout),1.0,0.12757835663321568
