ts,datetime_utc,equity,B&H BTC filtrado (OOS),B&H ETH (OOS)
1704686399999,2024-01-08 03:59,12452.20170548232175091042311,14913.38876420252174640508716,8591.137740663417460020842553
1704700799999,2024-01-08 07:59,12452.20170548232175091042311,14913.38876420252174640508716,8721.364172793479060758774849
1704715199999,2024-01-08 11:59,12452.20170548232175091042311,14913.38876420252174640508716,8786.183291224973136645496343
1704729599999,2024-01-08 15:59,12452.20170548232175091042311,14913.38876420252174640508716,8899.822616823563476584830216
1704743999999,2024-01-08 19:59,12452.20170548232175091042311,14913.38876420252174640508716,9233.015629111769866669205620
1704758399999,2024-01-08 23:59,12452.20170548232175091042311,14913.38876420252174640508716,9138.433830166359273179325253
1704772799999,2024-01-09 03:59,12452.20170548232175091042311,14913.38876420252174640508716,9054.870889224124623624211215
1704787199999,2024-01-09 07:59,12452.20170548232175091042311,14913.38876420252174640508716,9042.793279740216471553364137
1704801599999,2024-01-09 11:59,12452.20170548232175091042311,14913.38876420252174640508716,9014.206989760446851879183877
1704815999999,2024-01-09 15:59,12452.20170548232175091042311,14913.38876420252174640508716,8851.159261727686798922748320
1704830399999,2024-01-09 19:59,12452.20170548232175091042311,14913.38876420252174640508716,8904.998735173809827472336107
1704844799999,2024-01-09 23:59,12452.20170548232175091042311,14913.38876420252174640508716,9192.743859826141060900504485
1704859199999,2024-01-10 03:59,12452.20170548232175091042311,14913.38876420252174640508716,9260.268676486173002023876786
1704873599999,2024-01-10 07:59,12452.20170548232175091042311,14913.38876420252174640508716,9288.658901376918138709893944
1704887999999,2024-01-10 11:59,12452.20170548232175091042311,14913.38876420252174640508716,9419.865658952102154388641749
1704902399999,2024-01-10 15:59,12452.20170548232175091042311,14913.38876420252174640508716,9604.519759795360232640651138
1704916799999,2024-01-10 19:59,12452.20170548232175091042311,14913.38876420252174640508716,9716.668990717364501869945436
1704931199999,2024-01-10 23:59,12452.20170548232175091042311,14913.38876420252174640508716,10134.20920430390347346208729
1704945599999,2024-01-11 03:59,12523.65014387346545326745227,14913.38876420252174640508716,10246.47607427932243248427945
1704959999999,2024-01-11 07:59,12454.77580938015769322466190,14755.09440741882716386317109,10152.91381379683915053284721
1704974399999,2024-01-11 11:59,12653.22972792227456258517479,15146.88494124959760357779199,10422.50331120550325925711235
1704988799999,2024-01-11 15:59,12524.16973231473935925268706,14892.09287190307038380119999,10247.18190859981057124166661
1705003199999,2024-01-11 19:59,12549.80276208425205452427040,14942.69796194550298750543029,10282.00306841055874993943351
1705017599999,2024-01-11 23:59,12538.08315613107395285730775,14919.56095005673312590191959,10266.08258318177073130058964
1705031999999,2024-01-12 03:59,12456.68096699816201517052283,14758.85559654360256008443145,10155.50187297196232597660015
1705046399999,2024-01-12 07:59,12473.76965351117047868491172,14792.59232323855762922058499,10178.71597951246111177511142
1705060799999,2024-01-12 11:59,12623.46885664708583643089278,15088.13060810348497472749757,10382.07468984865486709788073
1705075199999,2024-01-12 15:59,12621.82349324971846747764926,15084.88230840481531435459090,10379.83954783377576103282137
1705089599999,2024-01-12 19:59,12441.15104580897526961183833,14728.19620640528190603840003,10134.40526939292795645025039
